manufacturer,mall_name,product_key,product_name,min_price
농심,네이버쇼핑,N049,농심과자049,819
롯데,쿠팡,L049,롯데과자049,826
해태제과,네이버쇼핑,H049,해태과자049,833
롯데,네이버쇼핑,L049,롯데과자049,834
농심,쿠팡,N000,농심과자000,835
빙그레,네이버쇼핑,B049,빙그레과자049,837
롯데,G마켓,L049,롯데과자049,839
농심,쿠팡,N002,농심과자002,844
해태제과,쿠팡,H049,해태과자049,846
농심,G마켓,N000,농심과자000,847
오리온,G마켓,O000,오리온과자000,847
농심,네이버쇼핑,N001,농심과자001,848
농심,네이버쇼핑,N000,농심과자000,848
오리온,네이버쇼핑,O049,오리온과자049,849
오리온,쿠팡,O001,오리온과자001,850
오리온,네이버쇼핑,O000,오리온과자000,851
빙그레,네이버쇼핑,B002,빙그레과자002,854
오리온,네이버쇼핑,O001,오리온과자001,854
해태제과,G마켓,H000,해태과자000,855
빙그레,SSG,B000,빙그레과자000,858
빙그레,쿠팡,B003,빙그레과자003,860
빙그레,쿠팡,B000,빙그레과자000,861
오리온,쿠팡,O003,오리온과자003,861
오리온,컬리,O049,오리온과자049,861
오리온,SSG,O049,오리온과자049,862
롯데,G마켓,L002,롯데과자002,862
농심,쿠팡,N049,농심과자049,862
빙그레,쿠팡,B049,빙그레과자049,862
농심,SSG,N049,농심과자049,864
롯데,네이버쇼핑,L002,롯데과자002,866
롯데,G마켓,L000,롯데과자000,867
롯데,컬리,L049,롯데과자049,868
해태제과,G마켓,H003,해태과자003,868
빙그레,네이버쇼핑,B000,빙그레과자000,868
오리온,쿠팡,O000,오리온과자000,870
해태제과,네이버쇼핑,H003,해태과자003,870
해태제과,SSG,H049,해태과자049,871
오리온,쿠팡,O005,오리온과자005,871
빙그레,G마켓,B001,빙그레과자001,871
빙그레,쿠팡,B001,빙그레과자001,872
빙그레,쿠팡,B005,빙그레과자005,872
해태제과,G마켓,H001,해태과자001,872
해태제과,SSG,H000,해태과자000,873
빙그레,G마켓,B003,빙그레과자003,873
빙그레,네이버쇼핑,B004,빙그레과자004,873
오리온,G마켓,O002,오리온과자002,874
농심,쿠팡,N001,농심과자001,875
롯데,G마켓,L003,롯데과자003,875
