manufacturer,product_key,product_name,cheaper_mall,cheaper_price,target_mall_price,diff
해태제과,H000,해태과자000,G마켓,855,875,20
해태제과,H000,해태과자000,SSG,873,875,2
해태제과,H001,해태과자001,G마켓,872,908,36
해태제과,H001,해태과자001,컬리,891,908,17
해태제과,H001,해태과자001,쿠팡,900,908,8
해태제과,H002,해태과자002,SSG,890,891,1
해태제과,H003,해태과자003,G마켓,868,870,2
해태제과,H004,해태과자004,G마켓,880,893,13
해태제과,H011,해태과자011,G마켓,929,934,5
해태제과,H012,해태과자012,쿠팡,933,938,5
해태제과,H013,해태과자013,G마켓,958,987,29
해태제과,H014,해태과자014,쿠팡,936,970,34
해태제과,H014,해태과자014,SSG,954,970,16
해태제과,H014,해태과자014,G마켓,962,970,8
해태제과,H014,해태과자014,컬리,969,970,1
해태제과,H015,해태과자015,쿠팡,955,1005,50
해태제과,H015,해태과자015,SSG,958,1005,47
해태제과,H015,해태과자015,G마켓,973,1005,32
해태제과,H015,해태과자015,컬리,978,1005,27
해태제과,H016,해태과자016,쿠팡,946,973,27
해태제과,H016,해태과자016,G마켓,970,973,3
해태제과,H017,해태과자017,쿠팡,984,1014,30
해태제과,H017,해태과자017,G마켓,1006,1014,8
해태제과,H017,해태과자017,컬리,1011,1014,3
해태제과,H017,해태과자017,SSG,1013,1014,1
해태제과,H018,해태과자018,G마켓,981,993,12
해태제과,H019,해태과자019,G마켓,1005,1038,33
해태제과,H019,해태과자019,SSG,1035,1038,3
해태제과,H020,해태과자020,쿠팡,982,993,11
해태제과,H022,해태과자022,쿠팡,982,1025,43
해태제과,H023,해태과자023,SSG,1020,1044,24
해태제과,H023,해태과자023,쿠팡,1035,1044,9
해태제과,H023,해태과자023,G마켓,1038,1044,6
해태제과,H024,해태과자024,SSG,1026,1055,29
해태제과,H024,해태과자024,쿠팡,1040,1055,15
해태제과,H025,해태과자025,쿠팡,1013,1080,67
해태제과,H026,해태과자026,쿠팡,1040,1059,19
해태제과,H028,해태과자028,쿠팡,1017,1051,34
해태제과,H030,해태과자030,쿠팡,1053,1094,41
해태제과,H030,해태과자030,컬리,1086,1094,8
해태제과,H030,해태과자030,G마켓,1089,1094,5
해태제과,H031,해태과자031,G마켓,1081,1096,15
해태제과,H031,해태과자031,SSG,1084,1096,12
해태제과,H031,해태과자031,쿠팡,1085,1096,11
해태제과,H034,해태과자034,G마켓,1089,1116,27
해태제과,H034,해태과자034,쿠팡,1113,1116,3
해태제과,H035,해태과자035,G마켓,1094,1109,15
해태제과,H035,해태과자035,쿠팡,1097,1109,12
해태제과,H036,해태과자036,쿠팡,1077,1095,18
해태제과,H040,해태과자040,G마켓,1128,1132,4
해태제과,H041,해태과자041,G마켓,1140,1155,15
