manufacturer,product_key,product_name,cheaper_mall,cheaper_price
빙그레,B000,빙그레과자000,SSG,858
빙그레,B001,빙그레과자001,G마켓,871
빙그레,B002,빙그레과자002,네이버쇼핑,854
빙그레,B004,빙그레과자004,네이버쇼핑,873
빙그레,B006,빙그레과자006,SSG,909
빙그레,B007,빙그레과자007,SSG,907
빙그레,B010,빙그레과자010,네이버쇼핑,925
빙그레,B010,빙그레과자010,SSG,926
빙그레,B011,빙그레과자011,네이버쇼핑,910
빙그레,B011,빙그레과자011,G마켓,949
빙그레,B012,빙그레과자012,G마켓,946
빙그레,B014,빙그레과자014,G마켓,962
빙그레,B014,빙그레과자014,SSG,962
빙그레,B015,빙그레과자015,네이버쇼핑,954
빙그레,B016,빙그레과자016,네이버쇼핑,948
빙그레,B017,빙그레과자017,G마켓,969
빙그레,B018,빙그레과자018,G마켓,982
빙그레,B020,빙그레과자020,G마켓,1003
빙그레,B020,빙그레과자020,네이버쇼핑,1024
빙그레,B020,빙그레과자020,SSG,1025
빙그레,B021,빙그레과자021,G마켓,1012
빙그레,B021,빙그레과자021,컬리,1034
빙그레,B022,빙그레과자022,네이버쇼핑,1031
빙그레,B022,빙그레과자022,SSG,1032
빙그레,B022,빙그레과자022,G마켓,1049
빙그레,B023,빙그레과자023,G마켓,1008
빙그레,B023,빙그레과자023,네이버쇼핑,1011
빙그레,B024,빙그레과자024,G마켓,1019
빙그레,B024,빙그레과자024,네이버쇼핑,1036
빙그레,B024,빙그레과자024,SSG,1057
빙그레,B024,빙그레과자024,컬리,1058
빙그레,B025,빙그레과자025,네이버쇼핑,1025
빙그레,B026,빙그레과자026,네이버쇼핑,1026
빙그레,B026,빙그레과자026,G마켓,1043
빙그레,B027,빙그레과자027,네이버쇼핑,1040
빙그레,B027,빙그레과자027,SSG,1072
빙그레,B028,빙그레과자028,네이버쇼핑,1062
빙그레,B029,빙그레과자029,네이버쇼핑,1037
빙그레,B030,빙그레과자030,네이버쇼핑,1061
빙그레,B031,빙그레과자031,G마켓,1072
빙그레,B031,빙그레과자031,네이버쇼핑,1074
빙그레,B033,빙그레과자033,G마켓,1098
빙그레,B033,빙그레과자033,네이버쇼핑,1131
빙그레,B033,빙그레과자033,컬리,1135
빙그레,B038,빙그레과자038,G마켓,1123
빙그레,B038,빙그레과자038,네이버쇼핑,1136
빙그레,B039,빙그레과자039,G마켓,1145
빙그레,B039,빙그레과자039,SSG,1178
빙그레,B041,빙그레과자041,네이버쇼핑,1135
빙그레,B043,빙그레과자043,SSG,1161
빙그레,B044,빙그레과자044,SSG,1167
빙그레,B049,빙그레과자049,네이버쇼핑,837
해태제과,H000,해태과자000,G마켓,855
해태제과,H000,해태과자000,SSG,873
해태제과,H000,해태과자000,네이버쇼핑,875
해태제과,H001,해태과자001,G마켓,872
해태제과,H001,해태과자001,컬리,891
해태제과,H002,해태과자002,SSG,890
해태제과,H002,해태과자002,네이버쇼핑,891
해태제과,H002,해태과자002,G마켓,909
해태제과,H003,해태과자003,G마켓,868
해태제과,H003,해태과자003,네이버쇼핑,870
해태제과,H004,해태과자004,G마켓,880
해태제과,H004,해태과자004,네이버쇼핑,893
해태제과,H004,해태과자004,SSG,918
해태제과,H004,해태과자004,컬리,919
해태제과,H005,해태과자005,네이버쇼핑,885
해태제과,H006,해태과자006,네이버쇼핑,883
해태제과,H006,해태과자006,G마켓,902
해태제과,H007,해태과자007,네이버쇼핑,889
해태제과,H007,해태과자007,SSG,922
해태제과,H008,해태과자008,네이버쇼핑,919
해태제과,H009,해태과자009,네이버쇼핑,898
해태제과,H010,해태과자010,네이버쇼핑,920
해태제과,H011,해태과자011,G마켓,929
해태제과,H011,해태과자011,네이버쇼핑,934
해태제과,H013,해태과자013,G마켓,958
해태제과,H013,해태과자013,네이버쇼핑,987
해태제과,H013,해태과자013,컬리,993
해태제과,H018,해태과자018,G마켓,981
해태제과,H018,해태과자018,네이버쇼핑,993
해태제과,H019,해태과자019,G마켓,1005
