manufacturer,product_key,product_name,cheaper_mall,cheaper_price,target_mall_price,diff
해태제과,H000,해태과자000,G마켓,855,882,27
해태제과,H000,해태과자000,SSG,873,882,9
해태제과,H000,해태과자000,네이버쇼핑,875,882,7
해태제과,H001,해태과자001,G마켓,872,900,28
해태제과,H001,해태과자001,컬리,891,900,9
해태제과,H002,해태과자002,SSG,890,913,23
해태제과,H002,해태과자002,네이버쇼핑,891,913,22
해태제과,H002,해태과자002,G마켓,909,913,4
해태제과,H003,해태과자003,G마켓,868,898,30
해태제과,H003,해태과자003,네이버쇼핑,870,898,28
해태제과,H004,해태과자004,G마켓,880,928,48
해태제과,H004,해태과자004,네이버쇼핑,893,928,35
해태제과,H004,해태과자004,SSG,918,928,10
해태제과,H004,해태과자004,컬리,919,928,9
해태제과,H005,해태과자005,네이버쇼핑,885,899,14
해태제과,H006,해태과자006,네이버쇼핑,883,933,50
해태제과,H006,해태과자006,G마켓,902,933,31
해태제과,H007,해태과자007,네이버쇼핑,889,930,41
해태제과,H007,해태과자007,SSG,922,930,8
해태제과,H008,해태과자008,네이버쇼핑,919,937,18
해태제과,H009,해태과자009,네이버쇼핑,898,923,25
해태제과,H010,해태과자010,네이버쇼핑,920,961,41
해태제과,H011,해태과자011,G마켓,929,953,24
해태제과,H011,해태과자011,네이버쇼핑,934,953,19
해태제과,H013,해태과자013,G마켓,958,997,39
해태제과,H013,해태과자013,네이버쇼핑,987,997,10
해태제과,H013,해태과자013,컬리,993,997,4
해태제과,H018,해태과자018,G마켓,981,1001,20
해태제과,H018,해태과자018,네이버쇼핑,993,1001,8
해태제과,H019,해태과자019,G마켓,1005,1038,33
해태제과,H019,해태과자019,SSG,1035,1038,3
해태제과,H021,해태과자021,네이버쇼핑,985,1015,30
해태제과,H023,해태과자023,SSG,1020,1035,15
해태제과,H024,해태과자024,SSG,1026,1040,14
해태제과,H027,해태과자027,네이버쇼핑,1043,1045,2
해태제과,H029,해태과자029,네이버쇼핑,1047,1072,25
해태제과,H031,해태과자031,G마켓,1081,1085,4
해태제과,H031,해태과자031,SSG,1084,1085,1
해태제과,H032,해태과자032,네이버쇼핑,1075,1077,2
해태제과,H033,해태과자033,네이버쇼핑,1068,1091,23
해태제과,H034,해태과자034,G마켓,1089,1113,24
해태제과,H035,해태과자035,G마켓,1094,1097,3
해태제과,H037,해태과자037,네이버쇼핑,1122,1150,28
해태제과,H037,해태과자037,SSG,1129,1150,21
해태제과,H038,해태과자038,네이버쇼핑,1100,1163,63
해태제과,H038,해태과자038,SSG,1131,1163,32
해태제과,H038,해태과자038,G마켓,1158,1163,5
해태제과,H038,해태과자038,컬리,1158,1163,5
해태제과,H039,해태과자039,네이버쇼핑,1126,1168,42
해태제과,H039,해태과자039,G마켓,1160,1168,8
해태제과,H040,해태과자040,G마켓,1128,1160,32
해태제과,H040,해태과자040,네이버쇼핑,1132,1160,28
해태제과,H040,해태과자040,컬리,1159,1160,1
해태제과,H041,해태과자041,G마켓,1140,1191,51
해태제과,H041,해태과자041,네이버쇼핑,1155,1191,36
해태제과,H041,해태과자041,SSG,1178,1191,13
해태제과,H041,해태과자041,컬리,1179,1191,12
해태제과,H042,해태과자042,네이버쇼핑,1138,1153,15
해태제과,H043,해태과자043,네이버쇼핑,1137,1185,48
해태제과,H043,해태과자043,G마켓,1156,1185,29
해태제과,H044,해태과자044,네이버쇼핑,1150,1190,40
해태제과,H044,해태과자044,SSG,1181,1190,9
해태제과,H045,해태과자045,네이버쇼핑,1181,1198,17
해태제과,H046,해태과자046,네이버쇼핑,1159,1184,25
해태제과,H047,해태과자047,네이버쇼핑,1174,1177,3
해태제과,H048,해태과자048,네이버쇼핑,1191,1222,31
해태제과,H049,해태과자049,네이버쇼핑,833,846,13
