batch_date,mall_name,manufacturer,product_key,product_name,min_price,avg_price,max_price
2026-03-04,네이버쇼핑,빙그레,B000,빙그레과자000,856,1000.1,1145
2026-03-04,네이버쇼핑,빙그레,B001,빙그레과자001,867,1011.27,1157
2026-03-04,네이버쇼핑,빙그레,B002,빙그레과자002,838,982.73,1127
2026-03-04,네이버쇼핑,빙그레,B003,빙그레과자003,858,1003.9,1149
2026-03-04,네이버쇼핑,빙그레,B004,빙그레과자004,856,1002.07,1148
2026-03-04,네이버쇼핑,빙그레,B005,빙그레과자005,898,1043.07,1189
2026-03-04,네이버쇼핑,빙그레,B006,빙그레과자006,914,1057.93,1203
2026-03-04,네이버쇼핑,빙그레,B007,빙그레과자007,920,1066.23,1212
2026-03-04,네이버쇼핑,빙그레,B008,빙그레과자008,946,1090.9,1237
2026-03-04,네이버쇼핑,빙그레,B009,빙그레과자009,924,1067.97,1212
2026-03-04,네이버쇼핑,빙그레,B010,빙그레과자010,909,1055.03,1201
2026-03-04,네이버쇼핑,빙그레,B011,빙그레과자011,895,1039.93,1186
2026-03-04,네이버쇼핑,빙그레,B012,빙그레과자012,963,1108.0,1254
2026-03-04,네이버쇼핑,빙그레,B013,빙그레과자013,965,1109.03,1255
2026-03-04,네이버쇼핑,빙그레,B014,빙그레과자014,964,1108.33,1254
2026-03-04,네이버쇼핑,빙그레,B015,빙그레과자015,939,1085.03,1231
2026-03-04,네이버쇼핑,빙그레,B016,빙그레과자016,935,1078.97,1223
2026-03-04,네이버쇼핑,빙그레,B017,빙그레과자017,982,1126.3,1272
2026-03-04,네이버쇼핑,빙그레,B018,빙그레과자018,983,1127.0,1271
2026-03-04,네이버쇼핑,빙그레,B019,빙그레과자019,967,1113.0,1257
2026-03-04,네이버쇼핑,빙그레,B020,빙그레과자020,1006,1151.87,1296
2026-03-04,네이버쇼핑,빙그레,B021,빙그레과자021,1036,1181.73,1326
2026-03-04,네이버쇼핑,빙그레,B022,빙그레과자022,1016,1160.97,1306
2026-03-04,네이버쇼핑,빙그레,B023,빙그레과자023,997,1141.77,1288
2026-03-04,네이버쇼핑,빙그레,B024,빙그레과자024,1019,1165.03,1310
2026-03-04,네이버쇼핑,빙그레,B025,빙그레과자025,1011,1155.2,1301
2026-03-04,네이버쇼핑,빙그레,B026,빙그레과자026,1008,1153.0,1299
2026-03-04,네이버쇼핑,빙그레,B027,빙그레과자027,1022,1166.1,1312
2026-03-04,네이버쇼핑,빙그레,B028,빙그레과자028,1048,1192.0,1336
2026-03-04,네이버쇼핑,빙그레,B029,빙그레과자029,1022,1167.93,1314
