batch_date,mall_name,manufacturer,product_key,product_name,min_price,avg_price,max_price
2026-02-26,쿠팡,빙그레,B000,빙그레과자000,831,974.97,1120
2026-02-26,쿠팡,빙그레,B001,빙그레과자001,841,986.0,1130
2026-02-26,쿠팡,빙그레,B002,빙그레과자002,844,989.9,1136
2026-02-26,쿠팡,빙그레,B003,빙그레과자003,826,972.2,1117
2026-02-26,쿠팡,빙그레,B004,빙그레과자004,868,1012.17,1157
2026-02-26,쿠팡,빙그레,B005,빙그레과자005,836,980.07,1124
2026-02-26,쿠팡,빙그레,B006,빙그레과자006,888,1032.13,1176
2026-02-26,쿠팡,빙그레,B007,빙그레과자007,890,1033.97,1180
2026-02-26,쿠팡,빙그레,B008,빙그레과자008,861,1006.9,1151
2026-02-26,쿠팡,빙그레,B009,빙그레과자009,886,1031.23,1176
2026-02-26,쿠팡,빙그레,B010,빙그레과자010,908,1053.03,1199
2026-02-26,쿠팡,빙그레,B011,빙그레과자011,916,1061.93,1206
2026-02-26,쿠팡,빙그레,B012,빙그레과자012,945,1090.0,1234
2026-02-26,쿠팡,빙그레,B013,빙그레과자013,904,1047.97,1193
2026-02-26,쿠팡,빙그레,B014,빙그레과자014,935,1080.03,1225
2026-02-26,쿠팡,빙그레,B015,빙그레과자015,928,1071.9,1217
2026-02-26,쿠팡,빙그레,B016,빙그레과자016,939,1084.07,1229
2026-02-26,쿠팡,빙그레,B017,빙그레과자017,958,1103.77,1248
2026-02-26,쿠팡,빙그레,B018,빙그레과자018,952,1096.13,1240
2026-02-26,쿠팡,빙그레,B019,빙그레과자019,929,1073.8,1220
2026-02-26,쿠팡,빙그레,B020,빙그레과자020,995,1139.87,1285
2026-02-26,쿠팡,빙그레,B021,빙그레과자021,1013,1157.23,1302
2026-02-26,쿠팡,빙그레,B022,빙그레과자022,1024,1169.1,1315
2026-02-26,쿠팡,빙그레,B023,빙그레과자023,1007,1151.27,1296
2026-02-26,쿠팡,빙그레,B024,빙그레과자024,1036,1181.33,1327
2026-02-26,쿠팡,빙그레,B025,빙그레과자025,1006,1150.73,1295
2026-02-26,쿠팡,빙그레,B026,빙그레과자026,1038,1183.03,1329
2026-02-26,쿠팡,빙그레,B027,빙그레과자027,1041,1185.87,1330
2026-02-26,쿠팡,빙그레,B028,빙그레과자028,1050,1194.27,1339
2026-02-26,쿠팡,빙그레,B029,빙그레과자029,1033,1178.5,1323
2026-02-26,쿠팡,빙그레,B030,빙그레과자030,1072,1215.93,1360
2026-02-26,쿠팡,빙그레,B031,빙그레과자031,1060,1204.97,1350
2026-02-26,쿠팡,빙그레,B032,빙그레과자032,1039,1183.97,1330
2026-02-26,쿠팡,빙그레,B033,빙그레과자033,1102,1247.0,1393
2026-02-26,쿠팡,빙그레,B034,빙그레과자034,1049,1193.97,1340
2026-02-26,쿠팡,빙그레,B035,빙그레과자035,1068,1211.87,1358
2026-02-26,쿠팡,빙그레,B036,빙그레과자036,1054,1200.17,1345
2026-02-26,쿠팡,빙그레,B037,빙그레과자037,1094,1238.03,1384
2026-02-26,쿠팡,빙그레,B038,빙그레과자038,1110,1254.07,1398
2026-02-26,쿠팡,빙그레,B039,빙그레과자039,1143,1287.93,1432
2026-02-26,쿠팡,빙그레,B040,빙그레과자040,1085,1230.93,1375
2026-02-26,쿠팡,빙그레,B041,빙그레과자041,1125,1270.97,1415
2026-02-26,쿠팡,빙그레,B042,빙그레과자042,1093,1239.1,1384
2026-02-26,쿠팡,빙그레,B043,빙그레과자043,1146,1290.97,1437
2026-02-26,쿠팡,빙그레,B044,빙그레과자044,1149,1293.23,1437
2026-02-26,쿠팡,빙그레,B045,빙그레과자045,1120,1265.8,1411
2026-02-26,쿠팡,빙그레,B046,빙그레과자046,1146,1290.0,1435
2026-02-26,쿠팡,빙그레,B047,빙그레과자047,1152,1295.73,1440
2026-02-26,쿠팡,빙그레,B048,빙그레과자048,1130,1274.0,1418
2026-02-26,쿠팡,빙그레,B049,빙그레과자049,832,977.03,1121
2026-02-26,쿠팡,해태제과,H000,해태과자000,855,999.93,1144
